Country,Year,Forest_area,Access_to_electricity,Coal_energy_share,Renewable_electricity_share,Renewable_energy_share,Fossil_fuel_energy_consumption,Energy_use_per_capita,Air_pollution_PM2.5,CO2_emissions,R&D_expenditure,Industrial_value_added,GDP_growth,Population_growth,Urban_population_growth
TON,2006,12.4305555555556,92.3,,,1.9,0.0,536.455441258129,12.4804500046147,0.1331,,15.3239523116314,-2.16566628881468,0.549254886800715,0.676146113897414
TON,2007,12.4305555555556,90.5,,,2.2,0.0,543.447707212863,12.4498683029438,0.1142,,15.701298886744,-2.46430781206183,0.444175977594245,0.627240386786453
TON,2008,12.4305555555556,91.2,,,2.0,,,12.4206124762814,0.1237,,15.5113195526008,4.86284755682993,0.275093040718062,0.507002534621088
TON,2009,12.4305555555556,92.0,,,1.8,,,12.3842807820647,0.1308,,16.7737162758348,-5.12918545677135,0.170850043659503,0.404558842217236
TON,2010,12.4305555555556,92.8,,,1.0,,,12.3324714777308,0.1262,,18.0424993979689,0.824396747198833,0.183594875501069,0.414872144445782
TON,2011,12.4305555555556,92.2,,,1.1,,,12.1304389189741,0.12,,19.0875748082203,6.70370138900074,0.158161636914974,0.389368365103673
TON,2012,12.4305555555556,92.8,,,1.1,,,12.3765932473645,0.1181,,18.8662292473847,0.91976790274731,-0.102311314323862,-0.138886155536847
TON,2013,12.4305555555556,95.1,,,1.6,,,12.1802014822162,0.1194,,15.8952196177487,0.393913876447826,-0.356114444715887,-0.581443294806614
TON,2014,12.4305555555556,95.9,,,1.7,,,12.0913822122592,0.1318,,16.128191902045,1.99054015465354,-0.438960491824116,-0.669247293228672
TON,2015,12.4305555555556,100.0,,,1.9,,,11.7395693014278,0.1347,,15.5472098085233,1.11374405685874,-0.483301677921251,-0.71019586697614
TON,2016,12.4305555555556,97.0,,,2.0,,,12.0170183126119,0.1432,,15.9723714684611,6.59870436118344,-0.539650395978897,-0.768312078404105
TON,2017,12.4305555555556,98.2,,,2.0,,,12.0803698566865,0.1768,,16.4212234408385,3.2023165092282,-0.159332355407353,-0.388429395664215
TON,2018,12.4305555555556,99.0,,,1.8,,,12.6468527417102,0.1573,,15.3387532202986,0.68755058264442,0.20007307916608,0.0368633398264026
TON,2019,12.4305555555556,98.4,,,1.8,,,12.7574461149445,0.189,,15.6687466200146,-0.208437487640992,0.09657445504329,-0.00819067901186828
TON,2020,12.4305555555556,99.9,,,1.9,,,12.4784129504796,0.1922,,15.0977950945766,1.78339492959161,0.0331168127621577,0.0
TSA,2000,17.9743722224434,57.7784468456697,58.3907253566337,0.44487573548043,49.4198688467194,61.8229558257619,387.909999022007,59.9492999973046,1151.4358,0.630640965053373,25.2700935447665,4.11244481225516,1.98437410499534,2.87420113909749
TSA,2001,18.0094313826968,59.3778874724738,58.9262720825186,0.576028769916929,49.5132299768399,61.8062407335249,386.827885993442,60.2937215255169,1175.3508,0.63848520133384,24.7855971331104,4.35914702090956,1.94798418396253,2.97998298809759
TSA,2002,18.0444905429501,60.4780948549911,59.2075481146834,0.720034079927099,48.3766095693267,62.3280843910915,390.022776937991,60.708114450779,1214.5046,0.641497757996555,25.6833954934488,3.72112041015768,1.90880811932301,3.1577037698368
TSA,2003,18.0795497032035,63.2093094369395,57.4476873957226,0.894356190216652,48.0316126359467,62.586264225787,393.996885262423,61.057952858274,1253.547,0.719290018081665,25.6082839012093,7.17607545720111,1.84064153438293,3.07957308923841
TSA,2004,18.1209989756751,62.6479876322317,56.9827629044275,1.05334085234187,47.160168229575,63.63679312167,407.749977726132,61.2107338085816,1354.4459,0.74062627728012,27.1795650744872,7.54870582029845,1.78063931925998,3.03062738572099
TSA,2005,18.1560705034032,66.6565864947117,55.9388860515126,1.29046507338272,46.4334668050788,64.0459345126964,416.479038360374,61.0379568871019,1410.9735,0.760104012652099,27.720100306766,7.61272868538857,1.70613947083037,2.94841138150358
TSA,2006,18.1911420311313,66.9063717326738,55.9682550437623,1.66614569702441,45.452472213655,64.8851402848013,430.62292836871,59.5000859278422,1505.8529,0.786319535468244,28.9466577007139,7.61851500867294,1.65185494868423,2.88515663689904
TSA,2007,18.2262135588595,70.0446031260855,55.5519834573161,1.98260735572436,43.7177328220463,66.0497248715469,447.090731855625,56.3779116189251,1642.3671,0.78238620625876,29.0922523270593,7.13922750233999,1.5937479809956,2.83566307441741
TSA,2008,18.2612850865876,72.4226974986837,58.3807649250206,2.33636637245974,42.0905759258785,67.0384624795357,458.006921660438,52.7762866796696,1733.0162,0.826499369615275,29.2560272970074,3.29811413008456,1.5448286710364,2.78104706100721
TSA,2009,18.2963565933556,73.6975689945981,57.3444402739182,2.84687917676016,40.3251243747301,68.9359300142452,490.610484018364,49.8005749974803,1882.9204,0.781574940237745,29.3368664843269,6.94990554506933,1.55261943948879,2.7707906705371
TSA,2010,18.3314281210837,75.0973971412565,57.808228911436,2.99809744077767,39.199896037042,69.1891843096548,504.352306978145,48.5542106526031,1988.115,0.762064155681154,29.1816470556478,7.36602651396923,1.53455039099426,2.74699286970453
TSA,2011,18.3817752743847,77.9786573505753,57.9644598292787,3.43586331860294,37.9073539424171,69.3130540828319,516.485856024924,59.5311482144268,2105.7532,0.70720473864753,28.7072772363782,5.07139659406958,1.49335707954599,2.6938927616674
TSA,2012,18.4321224276857,79.4820147393817,62.2729984954533,4.03917194535572,37.5824991422199,70.2264603501362,532.285414870443,71.5693311294574,2286.0786,0.743990004062653,28.18153356188,5.38134579628948,1.4323603729237,2.64118072206969
TSA,2013,18.4824695809868,81.6373374672354,62.9289475085987,4.34966588532907,37.8881471077819,70.0481763539993,537.427986264441,73.4525798890987,2348.1956,0.636233487441337,27.3149354866174,6.00862370409911,1.31134279395073,2.54745638143361
TSA,2014,18.5328167342878,83.8508981640834,65.0980152935596,4.58727186835488,36.8125656985607,71.5235235089972,561.153020024176,76.3665126400434,2525.0229,0.678035592804138,26.7609220931173,6.84795882599944,1.29203605593563,2.5195805249745
TSA,2015,18.5863467033393,86.7911530662782,66.0671786763114,4.7679459408725,36.0592614470028,,,71.5048530887226,2562.0861,0.619025728034281,26.3496801017703,7.25162814486748,1.22227363214029,2.46140678195555
TSA,2016,18.6283491298085,88.9217628798745,,,35.3404295412497,,,73.0281148324475,2639.0344,0.649543452562021,26.0176861555619,7.7763033561632,1.19981589525335,2.45284385471476
TSA,2017,18.6801084324897,91.6798198055988,,,34.6387159666426,,,65.1755337759552,2796.1271,0.599364743639285,25.9869846382196,6.50145864333524,1.18914710384107,2.45839017569023
TSA,2018,18.7271714529853,94.6172397340512,,,34.7472044868575,,,66.0013089314491,2929.6127,0.64175181322042,26.0235047634252,6.33468913203174,1.16639996868884,2.45388800324172
TSA,2019,18.7741033935745,95.3216030944791,,,35.4996540162481,,,57.6247841302567,2898.1982,0.610145683204958,24.8797272639144,3.92432562415496,1.1459920688259,2.44621756111488
TSA,2020,18.821054816231,96.1923608258184,,,37.8106319649424,,,46.761099733566,2693.795,0.630154242814722,25.2666546362565,-4.58270181946476,1.12451167419196,2.43566206475097
TSS,2000,31.6482351838446,25.700773726639,62.5582314791896,0.428155674897927,72.7510609439676,38.2363154370916,643.509193407598,41.2294606842828,571.7683,,28.514910723134,3.47948702099036,2.69395871840861,3.88574657712077
TSS,2001,31.4937298221195,26.160662802678,62.0106329013852,0.448477627201371,72.631706782254,38.8976709468727,648.977864584112,40.9404547188992,592.6095,,27.2209009585751,4.18276836009666,2.71073225905913,4.10329965653
TSS,2002,31.3392244603943,27.3364835483685,60.7573310334627,0.374507382924307,72.0881511169514,38.0146396172268,642.750010000513,40.0934240866097,596.6302,,26.5122944610995,6.35397062079821,2.72639782994743,4.13721473398392
TSS,2003,31.1847190986692,29.5928962069565,62.3315994293825,0.472791916858493,71.4244962306197,39.082678701209,654.114619567459,39.0098679673803,631.945,,26.9015314429687,4.05460942056261,2.73480075692814,4.1327064827541
